country,year,ShareRenewables_PrimEnProd,ShareFossils_PrimEnProd
IRL,2012,0.578675052433713,0.138501834574529
IRL,2013,0.334834833341749,0.0706850399973394
IRL,2014,0.427372301891986,0.0641535275852937
IRL,2015,0.517962060657334,0.0571745716118039
IRL,2016,0.238645518128425,0.585715354235114
IRL,2017,0.24261777413185,0.582178432033351
IRL,2018,0.265930710316985,0.543776649640794
IRL,2019,0.356804840972908,0.51455571028361
IRL,2020,0.458643351958958,0.464664652254393
IRL,2021,0.497937811538328,0.413027333504151
IRL,2022,0.541343696207099,0.370615999788341
IRL,2023,0.588485881929232,0.312357497149151
ITA,1990,0.252024709443191,0.741487505556607
ITA,1991,0.282739701114711,0.711849025705768
ITA,1992,0.285415966369974,0.710421978421318
ITA,1993,0.276839394710622,0.719344975085822
ITA,1994,0.272953197134037,0.723338057496595
ITA,1995,0.254469886494714,0.740020996826695
ITA,1996,0.268220653650061,0.726099219200066
ITA,1997,0.274105903147005,0.719610209363832
ITA,1998,0.286572061304306,0.705456748801714
ITA,1999,0.321645271442854,0.666490220028489
ITA,2000,0.340649526398986,0.650174125010207
ITA,2001,0.364568395405728,0.624488546594616
ITA,2002,0.360286972645479,0.629257849842468
ITA,2003,0.405705185161173,0.578367337064597
ITA,2004,0.418387094274873,0.559100112713878
ITA,2005,0.441219747249181,0.536509503115141
ITA,2006,0.472185263886387,0.502344768823522
ITA,2007,0.51235578480153,0.461125121562397
ITA,2008,0.57142448267279,0.405704436071973
ITA,2009,0.610162428412739,0.364463515642823
ITA,2010,0.588706823405531,0.379693071725176
ITA,2011,0.570959894073471,0.393475263264262
ITA,2012,0.603597593004015,0.364018815137249
ITA,2013,0.639159231792157,0.32988926078924
ITA,2014,0.644351930291877,0.324096793319346
ITA,2015,0.65277222332043,0.315392081780935
ITA,2016,0.70315389968315,0.261548560374985
ITA,2017,0.723829018131256,0.245238221668845
ITA,2018,0.713851593895963,0.255807778787679
ITA,2019,0.733904644395093,0.234062350414337
ITA,2020,0.724294039173467,0.243952308560794
ITA,2021,0.75733831912885,0.211335092712031
ITA,2022,0.754147377059779,0.21226499360137
ITA,2023,0.752382419139908,0.215027088718671
LTU,1990,0.0637537844461753,0.0023862719102227
LTU,1991,0.0629048676549531,0.00672963017496973
LTU,1992,0.0696684066683836,0.0143348337324574
LTU,1993,0.116765493503198,0.0187524714303519
LTU,1994,0.170242605389854,0.0338030856060824
LTU,1995,0.127015384703927,0.0324852383574741
LTU,1996,0.116572073745884,0.0338112862095778
LTU,1997,0.130143165168531,0.0509238313376836
LTU,1998,0.129914536908507,0.0588313051512549
LTU,1999,0.174736349830234,0.0617636169371044
LTU,2000,0.195474159425372,0.0922609438537575
LTU,2001,0.160286782847684,0.108894972516318
LTU,2002,0.147854296292276,0.0845473773891819
