,Country,year,GWP_Imports,GWP_Exports,Employment_pba,GWP_pba,ValueAdded_pba
40,TW,1998,131099217510.0,79350114413.9,9419.92474542,174412585122.0,247596.222927
41,NO,1998,42790066815.4,37952646503.6,2263.0,78979257164.8,137510.851292
42,ID,1998,77600210799.6,159309492404.0,86943.5999998,441060330094.0,99592.9052171
43,ZA,1998,21181535298.0,128112960955.0,13127.6,325572067474.0,124799.723668
44,WA,1998,625537681559.0,764896013707.0,320948.0,1681116926650.0,760664.606989
45,WL,1998,225265049685.0,297453133903.0,90656.0,948353262446.0,851419.661615
46,WE,1998,88774631129.5,168068658560.0,149337.0,534682166172.0,100461.457963
47,WF,1998,129165588397.0,355740717351.0,238823.989232,1231086236200.0,358717.131043
48,WM,1998,226605648764.0,476174720799.0,20430.0,1256656939870.0,590795.391236
0,AT,1999,55010681679.8,17262780658.6,3648.76,58237474170.4,203771.323025
1,BE,1999,75821440777.0,62962513789.4,3894.3,111095797578.0,242213.39096
2,BG,1999,15073898980.2,20646338989.5,2756.99992714,58736711421.1,12795.1552824
3,CY,1999,7031407530.5,3383580578.13,276.924994591,7967098087.18,9842.59754811
4,CZ,1999,27514561382.9,33960127852.2,5079.956,120572716559.0,61149.4058272
5,DE,1999,450501630149.0,180982805179.0,38407.0,796620113790.0,2058679.2755
6,DK,1999,37488025173.8,22479548339.2,2339.9,70824633745.6,166977.110352
7,EE,1999,5655875004.9,7044236634.86,616.4,18084151223.3,5412.83397869
8,ES,1999,156968151661.0,72826904821.7,14158.1,268485617203.0,595491.383279
9,FI,1999,38553489367.7,21164354825.2,2268.44213904,65301959151.5,126866.65514
10,FR,1999,272798646229.0,108691125863.0,19624.0,381061672925.0,1400454.29249
11,GR,1999,50153925634.6,24158241687.7,4071.96224122,171864901035.0,139945.874058
12,HR,1999,11644219313.5,5933826956.52,1600.79938568,20184741284.8,21955.6591105
13,HU,1999,30644782001.7,16834867145.6,3725.9,57524911451.2,46043.6979508
14,IE,1999,36531803606.2,31202718633.1,1412.49254304,53640595742.6,92632.8004183
15,IT,1999,317435258694.0,85465079931.8,20973.4999998,397850683748.0,1174692.60263
16,LT,1999,9355002507.79,4113386463.94,1532.39255826,24768062697.4,10294.4010659
17,LU,1999,5430678557.36,2961075951.31,162.998903469,4588121009.09,20862.5285074
18,LV,1999,9501894287.05,3251857233.62,964.699999703,11906879563.4,7060.66176803
19,MT,1999,3087276541.52,1111306637.89,146.15,2542857833.73,3840.96683969
20,NL,1999,131812266091.0,87237886860.0,7349.9,188609809428.0,419295.914609
21,PL,1999,65118240613.6,69343119470.1,15185.0,352222362397.0,159533.353207
22,PT,1999,37895660988.2,11724881394.9,4927.1,61345702206.7,119556.803312
23,RO,1999,14818547101.0,25908469003.7,11105.5840492,108735263980.0,33949.5097128
24,SE,1999,61294467026.0,22554816282.3,3986.7,61616587804.2,257150.724878
25,SI,1999,10372322217.1,3209894772.86,927.197001973,14512974302.8,21308.9717643
